,id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
9,1313105281136709636,1313105281136709632,2020-10-05 15:14:29 ora legale Europa occidentale,2020-10-05,15:14:29,200,151967576,attorneycrump,Ben Crump,,Today is the last day to register to vote in the state of Florida. Make sure you register or postmark your registration on today! #BeAnOctoberVoter #GOTV  https://t.co/EY1p72gVKh,en,[],[],['https://pbs.twimg.com/media/EjkWSsqWoAEOTtO.jpg'],2,83,137,"['beanoctobervoter', 'gotv']",[],https://twitter.com/AttorneyCrump/status/1313105281136709636,False,,1,https://pbs.twimg.com/media/EjkWSsqWoAEOTtO.jpg,,,,,,,[],,,,
10,1312962453026807809,1312962453026807808,2020-10-05 05:46:57 ora legale Europa occidentale,2020-10-05,05:46:57,200,151967576,attorneycrump,Ben Crump,,"Thomas Jefferson Byrd, actor and fellow @OfficialOPPF brother known for many roles in Spike Lee films, was fatally shot in Atlanta this weekend. Sending my deepest prayers and condolences to Tom’s family. 🙏🏾  https://t.co/4SBGtrLqJ1",en,"[{'screen_name': 'officialoppf', 'name': 'omega psi phi', 'id': '119974603'}]",['https://www.ajc.com/news/actor-thomas-jefferson-byrd-killed-in-atlanta-sources-say/C5YGCZVVJZC4FJBH5XX2IVY654/'],[],84,400,1841,[],[],https://twitter.com/AttorneyCrump/status/1312962453026807809,False,,0,,,,,,,,[],,,,
11,1312916915929653249,1312916915929653248,2020-10-05 02:46:00 ora legale Europa occidentale,2020-10-05,02:46:00,200,151967576,attorneycrump,Ben Crump,,Our system is broken. We must eliminate the “Hunt for Black People” by reforming how the current system works. That includes teaching ALL cops to police with respect. We must END this open season on Black people.  https://t.co/rpxXTJlTpT,en,[],[],[],70,652,1858,[],[],https://twitter.com/AttorneyCrump/status/1312916915929653249,False,,1,https://pbs.twimg.com/amplify_video_thumb/1311015960581726208/img/9RmcK4C_tmaXZOiJ.jpg,,,,,,,[],,,,
0,1313622313959518209,1313622313959518208,2020-10-07 01:29:00 ora legale Europa occidentale,2020-10-07,01:29:00,200,151967576,attorneycrump,Ben Crump,,"WOW! Walter Mosley will be the FIRST BLACK person ever to receive @NationalBook Lifetime Achievement Award! 📚  He's a bestselling author, diversity advocate, and mentor of disadvantaged students. Now that's #BlackExcellence! 👏🏾  https://t.co/UfkR6p7YVu",en,"[{'screen_name': 'nationalbook', 'name': 'national book foundation', 'id': '16220088'}]",['https://thegrio.com/2020/10/04/walter-mosley-lifetime-achievement-award/'],[],12,147,777,['blackexcellence'],[],https://twitter.com/AttorneyCrump/status/1313622313959518209,False,,0,,,,,,,,[],,,,
1,1313580287150845952,1313580287150845952,2020-10-06 22:42:00 ora legale Europa occidentale,2020-10-06,22:42:00,200,151967576,attorneycrump,Ben Crump,,"Props to @TheRealZSmith for unapologetically standing with Black women! After his QB sack to end the 1st half and with all cameras on him, Za’Darius revealed ""Rest in Heaven Breonna Taylor"" on his undershirt – sending a clear message in support of #JusticeForBre!  https://t.co/MpYEyi3kO7",en,"[{'screen_name': 'therealzsmith', 'name': 'ah', 'id': '1288095463443509248'}]",[],['https://pbs.twimg.com/media/Ejq7HM6WAAARRjV.jpg'],15,178,1331,['justiceforbre'],[],https://twitter.com/AttorneyCrump/status/1313580287150845952,False,,1,https://pbs.twimg.com/media/Ejq7HM6WAAARRjV.jpg,,,,,,,[],,,,
2,1313556631129452544,1313556631129452544,2020-10-06 21:08:00 ora legale Europa occidentale,2020-10-06,21:08:00,200,151967576,attorneycrump,Ben Crump,,We wouldn’t need the “Ben Crump Playbook” if @KYOAG pursued justice for Breonna Taylor in the first place. Now step aside and let someone do the job you FAILED to do. #JusticeForBre  https://t.co/NBBLCPWJyo,en,"[{'screen_name': 'kyoag', 'name': 'attorney general daniel cameron', 'id': '1205238738097455104'}]",[],['https://pbs.twimg.com/media/EjqsYMUXsAAtdvQ.jpg'],18,83,297,['justiceforbre'],[],https://twitter.com/AttorneyCrump/status/1313556631129452544,False,,1,https://pbs.twimg.com/media/EjqsYMUXsAAtdvQ.jpg,,,,,,,[],,,,
3,1313460497795096576,1313460497795096576,2020-10-06 14:46:00 ora legale Europa occidentale,2020-10-06,14:46:00,200,151967576,attorneycrump,Ben Crump,,What a POWERFUL performance by @TheeStallion on @NBCSNL! Thank you for your nod to Breonna Taylor and for reminding others to protect Black men and women because Black Lives Matter!! #SayHerName  https://t.co/JIKoUav4Uy,en,"[{'screen_name': 'theestallion', 'name': 'tina snow', 'id': '104040220'}, {'screen_name': 'nbcsnl', 'name': 'saturday night live - snl', 'id': '28221296'}]",[],[],29,312,1755,['sayhername'],[],https://twitter.com/AttorneyCrump/status/1313460497795096576,False,,1,https://pbs.twimg.com/amplify_video_thumb/1313155324707328004/img/vahQP0KT3re3Fhpc.jpg,,,,,,,[],,,,
4,1313319065881059328,1313319065881059328,2020-10-06 05:24:00 ora legale Europa occidentale,2020-10-06,05:24:00,200,151967576,attorneycrump,Ben Crump,,"Newly released autopsy report finds that #DijonKizzee was shot 16 TIMES, four causing ""rapidly fatal injuries."" It states his death was a homicide, noting the injury occurred by law enforcement! The involved officers must be held accountable NOW.  https://t.co/KDPJx6sfbM",en,[],['https://www.cnn.com/2020/10/03/us/dijon-kizzee-autopsy-report/index.html'],[],68,978,2576,['dijonkizzee'],[],https://twitter.com/AttorneyCrump/status/1313319065881059328,False,,0,,,,,,,,[],,,,
5,1313293396757409792,1313293396757409792,2020-10-06 03:42:00 ora legale Europa occidentale,2020-10-06,03:42:00,200,151967576,attorneycrump,Ben Crump,,"This racist woman HARASSED Philip Evans, an innocent Black man, because he ""looked funny"" while grocery shopping! She told 911 “I hope you get him!” Black people have targets on our backs, even while doing normal daily activities! Another day, another #WhileBlack incident...  https://t.co/I3GBYf4emH",en,[],[],[],269,801,1853,['whileblack'],[],https://twitter.com/AttorneyCrump/status/1313293396757409792,False,,1,https://pbs.twimg.com/amplify_video_thumb/1313240075921219584/img/r34mqTQL4J7hOUHr.jpg,,,,,,,[],,,,
6,1313273515609600000,1313273515609600000,2020-10-06 02:23:00 ora legale Europa occidentale,2020-10-06,02:23:00,200,151967576,attorneycrump,Ben Crump,,"In 1850, a racist @Harvard professor photographed Papa Renty to exploit in pro-slavery propaganda. Now, the college continues to exploit Renty, even in death! Demand they turn over those WRONGFULLY collected photographs to his descendants:  https://t.co/wBM8FIQxOf #FreeRenty  https://t.co/zeLNBfVaHQ",en,"[{'screen_name': 'harvard', 'name': 'harvard university', 'id': '39585367'}]",['https://act.bencrump.com/a/free-renty?utm_source=t.co&utm_medium=referral&utm_campaign=social_organic&utm_content=100520'],['https://pbs.twimg.com/media/EjmSVoHWoAAxlFk.jpg'],9,225,631,['freerenty'],[],https://twitter.com/AttorneyCrump/status/1313273515609600000,False,,1,https://pbs.twimg.com/media/EjmSVoHWoAAxlFk.jpg,,,,,,,[],,,,
